country,year,co2_per_dollar,co2_total,co2_per_capita,nuclear_usage,gdp,life_exp,nox_total,population,primary_completion,renewable_usage,income,region
Afghanistan,1985,NA,3509.319,0.293957030722544,NA,NA,46.761,123.15629315,11938204,18.5706005096436,NA,Low income,South Asia
Afghanistan,1986,NA,3142.619,0.26777194992884,NA,NA,47.486,101.03995385,11736177,NA,NA,Low income,South Asia
Afghanistan,1987,NA,3124.284,0.26922950314782,NA,NA,48.211,103.30501845,11604538,NA,NA,Low income,South Asia
Afghanistan,1988,NA,2867.594,0.246823207558473,NA,NA,48.93,105.7345303,11618008,NA,NA,Low income,South Asia
Afghanistan,1989,NA,2775.919,0.233882273405403,NA,NA,49.64,104.99420721,11868873,NA,NA,Low income,South Asia
Afghanistan,1990,NA,2960,0.238472916123355,NA,NA,50.331,400,12412311,NA,67.7304964539007,Low income,South Asia
Afghanistan,1991,NA,2740,0.20603028073656,NA,NA,50.999,360,13299016,NA,67.9802955665025,Low income,South Asia
Afghanistan,1992,NA,1430,0.0987191160179498,NA,NA,51.641,310,14485543,NA,67.9943100995733,Low income,South Asia
Afghanistan,1993,NA,1360,0.0859856046188432,NA,NA,52.256,270,15816601,27.5751705169678,68.3453237410072,Low income,South Asia
Afghanistan,1994,NA,1300,0.0761314539561651,NA,NA,52.842,220,17075728,NA,68.7045123726346,Low income,South Asia
Afghanistan,1995,NA,1250,0.0690201164374886,NA,NA,53.398,180,18110662,NA,69.037037037037,Low income,South Asia
Afghanistan,1996,NA,1180,0.0625880343135185,NA,NA,53.924,170,18853444,NA,70.3703703703704,Low income,South Asia
Afghanistan,1997,NA,1100,0.0568266177530693,NA,NA,54.424,170,19357126,NA,72.3880597014925,Low income,South Asia
Afghanistan,1998,NA,1050,0.0531974990082466,NA,NA,54.906,160,19737770,NA,74.4360902255639,Low income,South Asia
Afghanistan,1999,NA,820,0.040652730150598,NA,NA,55.376,150,20170847,NA,73.7226277372263,Low income,South Asia
Afghanistan,2000,NA,770,0.0370549371204185,NA,NA,55.841,150,20779957,NA,74.9890940817217,Low income,South Asia
Afghanistan,2001,NA,810,0.0374878650392429,NA,NA,56.308,150,21606992,NA,72.8114599913182,Low income,South Asia
Afghanistan,2002,0.146261247838431,1100,0.0486708995010525,NA,7520789110.28522,56.784,150,22600774,NA,79.0639711991138,Low income,South Asia
Afghanistan,2003,0.16493492935801,1350,0.0570080382600792,NA,8185046098.20807,57.271,150,23680871,NA,70.2497285559175,Low income,South Asia
Afghanistan,2004,0.13613158337596,1130,0.0456996082249427,NA,8300792306.80239,57.772,150,24726689,NA,70.8908406524467,Low income,South Asia
Afghanistan,2005,0.177624748791315,1640,0.0639269698296666,NA,9232947610.95919,58.29,150,25654274,NA,74.0618101545254,Low income,South Asia
Afghanistan,2006,0.199432668614835,1940,0.0733929460601948,NA,9727593846.45617,58.826,400,26433058,NA,70.7557502738226,Low income,South Asia
Afghanistan,2007,0.213139469263296,2360,0.0870831291861248,NA,11072562055.9965,59.375,650,27100542,NA,72,Low income,South Asia
Afghanistan,2008,0.381501659739532,4390,0.158356377673251,NA,11507158325.3327,59.93,910,27722281,NA,68.6548223350254,Low income,South Asia
Afghanistan,2009,0.429534804751454,6000,0.211306250868557,NA,13968600294.1527,60.484,1160,28394806,NA,87.1766029246344,Low income,South Asia
Afghanistan,2010,0.542728700866921,8670,0.297065211570221,NA,15974832335.4764,61.028,1410,29185511,NA,85.9865470852018,Low income,South Asia
Afghanistan,2011,0.764198995095877,12260,0.407073503097594,NA,16042941797.4593,61.553,1930,30117411,NA,82.4875621890547,Low income,South Asia
Afghanistan,2012,0.577706059158855,10450,0.335351023308404,NA,18088783792.947,62.054,2440,31161378,NA,85.9099804305284,Low income,South Asia
Afghanistan,2013,0.44550564517469,8510,0.263715760645502,NA,19101890384.9424,62.525,2950,32269592,NA,78.6364080993837,Low income,South Asia
Afghanistan,2014,0.398015940544431,7810,0.234036914423758,NA,19622329671.8141,62.966,3460,33370804,NA,85.3235490326885,Low income,South Asia
Afghanistan,2015,0.401364107118854,7990,0.232175631246749,NA,19907111418.9938,63.377,3970,34413603,NA,86.0501112508465,Low income,South Asia
Afghanistan,2016,0.363018759531093,7390,0.208857195602366,NA,20357074685.4669,63.763,4070,35383028,80.4950408935547,NA,Low income,South Asia
Afghanistan,2017,0.353178873719891,7380,0.20332756862023,NA,20895927104.2161,64.13,4180,36296111,84.4149475097656,NA,Low income,South Asia
Afghanistan,2018,0.351865760083906,7440,0.200151071015376,NA,21144427347.0253,64.486,4280,37171922,85.6253280639648,NA,Low income,South Asia
Albania,1971,NA,4352.729,1.98949792330655,0,NA,67.237,33.23706075,2187853,NA,NA,Upper middle income,Europe & Central Asia
Albania,1972,NA,5643.513,2.51591439803203,0,NA,67.582,34.97265992,2243126,NA,NA,Upper middle income,Europe & Central Asia
Albania,1973,NA,5291.481,2.30389741687392,0,NA,67.953,33.6174199,2296752,NA,NA,Upper middle income,Europe & Central Asia
Albania,1974,NA,4345.395,1.84900669071079,0,NA,68.343,34.47332308,2350124,NA,NA,Upper middle income,Europe & Central Asia
Albania,1975,NA,4594.751,1.91063363704144,0,NA,68.736,34.99818532,2404831,NA,NA,Upper middle income,Europe & Central Asia
Albania,1976,NA,4950.45,2.01358456245734,0,NA,69.11,36.45524515,2458526,NA,NA,Upper middle income,Europe & Central Asia
Albania,1977,NA,5720.52,2.27587639136105,0,NA,69.448,37.40101237,2513546,NA,NA,Upper middle income,Europe & Central Asia
Albania,1978,NA,6494.257,2.53062504042839,0,NA,69.742,40.41956514,2566266,NA,NA,Upper middle income,Europe & Central Asia
Albania,1979,NA,7587.023,2.89820851758249,0,NA,69.991,44.75028467,2617832,NA,NA,Upper middle income,Europe & Central Asia
Albania,1980,1.11171768947896,5170.47,1.93505831031996,0,4650883986.94392,70.208,45.45557497,2671997,NA,NA,Upper middle income,Europe & Central Asia
Albania,1981,1.49271544328888,7341.334,2.69302391440235,0,4918106818.68806,70.416,40.918967855,2726056,NA,NA,Upper middle income,Europe & Central Asia
Albania,1982,1.44344360240996,7308.331,2.62485678513424,0,5063121959.04163,70.635,42.057674332,2784278,NA,NA,Upper middle income,Europe & Central Asia
Albania,1983,1.49070680215086,7631.027,2.6832399189862,0,5119066330.81005,70.876,44.312540955,2843960,NA,NA,Upper middle income,Europe & Central Asia
Albania,1984,1.54804822487387,7825.378,2.69429137362284,0,5054996268.37374,71.134,48.31876256,2904429,NA,NA,Upper middle income,Europe & Central Asia
Albania,1985,1.53165619502333,7880.383,2.65801538201043,0,5145007754.09327,71.388,46.393393945,2964762,NA,NA,Upper middle income,Europe & Central Asia
Albania,1986,1.48230602680385,8056.399,2.66535622064854,0,5435044352.73142,71.605,45.916611775,3022635,NA,NA,Upper middle income,Europe & Central Asia
Albania,1987,1.38050810903145,7444.01,2.41406081518223,0,5392224755.00173,71.76,45.97791009,3083605,NA,NA,Upper middle income,Europe & Central Asia
Albania,1988,1.3783190823895899,7326.666,2.33159853051997,0,5315653025.20355,71.843,47.911654006,3142336,NA,NA,Upper middle income,Europe & Central Asia
Albania,1989,1.53876921914989,8984.15,2.78324307461439,0,5838529838.1283,71.86,45.821846449,3227943,NA,NA,Upper middle income,Europe & Central Asia
Albania,1990,1.14595200238403,6050,1.84084061606394,0,5279453229.64103,71.836,70,3286542,NA,86.4077669902913,Upper middle income,Europe & Central Asia
Albania,1991,1.08126786728242,4110,1.25811576501704,0,3801093257.61226,71.803,60,3266790,NA,92.1424829753798,Upper middle income,Europe & Central Asia
Albania,1992,0.634937827706479,2240,0.689859284104687,0,3527904469.15302,71.802,60,3247039,NA,95.0500883912787,Upper middle income,Europe & Central Asia
Albania,1993,0.535554702950297,2070,0.641405614065312,0,3865151381.54264,71.86,50,3227287,NA,93.9076225559649,Upper middle income,Europe & Central Asia
Albania,1994,0.51121938494105,2140,0.667178793940271,0,4186069744.29729,71.992,40,3207536,NA,95.686374016747,Upper middle income,Europe & Central Asia
Albania,1995,0.411067028283434,1950,0.611710203702635,0,4743751908.64361,72.205,30,3187784,NA,93.9861390565616,Upper middle income,Europe & Central Asia
Albania,1996,0.38064445690769,1970,0.621836956875134,0,5175433305.93605,72.495,30,3168033,91.5860900878906,95.7204948177867,Upper middle income,Europe & Central Asia
Albania,1997,0.321021938630121,1480,0.470097808931287,0,4610276812.59269,72.838,40,3148281,NA,96.1744452945677,Upper middle income,Europe & Central Asia
Albania,1998,0.358753811324841,1800,0.575350084544499,0,5017368298.75838,73.208,40,3128530,NA,96.3202192209826,Upper middle income,Europe & Central Asia
Albania,1999,0.52435497401953,2970,0.955359308384195,0,5664101891.19209,73.587,50,3108778,NA,97.3291582243507,Upper middle income,Europe & Central Asia
Albania,2000,0.523295824395692,3170,1.026213108529,0,6057759019.3095,73.955,50,3089027,96.5826873779297,96.1490163248221,Upper middle income,Europe & Central Asia
Albania,2001,0.490857288778463,3220,1.0522280929869,0,6559951484.0927,74.288,60,3060173,96.3939437866211,95.3083109919571,Upper middle income,Europe & Central Asia
Albania,2002,0.546824932520972,3750,1.22910118288698,0,6857770699.50295,74.579,60,3051010,NA,93.9539860888176,Upper middle income,Europe & Central Asia
Albania,2003,0.567914183329765,4110,1.35214448140818,0,7237008901.41968,74.828,60,3039616,94.4481735229492,97.8565705128205,Upper middle income,Europe & Central Asia
Albania,2004,0.561829537187191,4290,1.41727335767255,0,7635767997.31456,75.039,70,3026939,93.4377975463867,97.5026757046022,Upper middle income,Europe & Central Asia
Albania,2005,0.50508689125047,4070,1.35149180454706,0,8058019462.59917,75.228,70,3011487,NA,98.713944515892,Upper middle income,Europe & Central Asia
Albania,2006,0.474602920982706,4050,1.35336220283257,0,8533449376.19459,75.423,70,2992547,NA,98.3164373642288,Upper middle income,Europe & Central Asia
Albania,2007,0.466620691541698,4220,1.42086728796502,0,9043748115.96389,75.646,70,2970017,96.1924133300781,97.4825174825175,Upper middle income,Europe & Central Asia
Albania,2008,0.428922921790866,4170,1.41484755272088,0,9722026471.77063,75.912,70,2947314,92.3935928344727,100,Upper middle income,Europe & Central Asia
Albania,2009,0.429948251411674,4320,1.47565225025013,0,10047720826.4388,76.221,70,2927519,91.0514907836914,99.9807766243752,Upper middle income,Europe & Central Asia
Albania,2010,0.439531796228076,4580,1.57225093811545,0,10420179016.1807,76.562,70,2913021,88.8362426757813,99.9867864693446,Upper middle income,Europe & Central Asia
Albania,2011,0.471671357046647,5040,1.73482330790188,0,10685406108.9437,76.914,70,2905195,92.9826583862305,98.5922214268671,Upper middle income,Europe & Central Asia
Albania,2012,0.422631081723085,4580,1.57909199452076,0,10836874517.9061,77.252,80,2900401,98.6721267700195,100,Upper middle income,Europe & Central Asia
Albania,2013,0.437624422285572,4790,1.65452427763954,0,10945458608.0534,77.554,80,2895092,89.539176940918,100,Upper middle income,Europe & Central Asia
Albania,2014,0.468594966238833,5220,1.80678854066866,0,11139684324.606,77.813,90,2889104,100.984718322754,100,Upper middle income,Europe & Central Asia
Albania,2015,0.44525058632516,5070,1.75998705871449,NA,11386846319.1589,78.025,90,2880703,98.8615875244141,100,Upper middle income,Europe & Central Asia
Albania,2016,0.419064527463594,4930,1.71412617289866,NA,11764298042.2109,78.194,90,2876101,99.8815536499023,NA,Upper middle income,Europe & Central Asia
Albania,2017,0.458580370458323,5600,1.94887203810602,NA,12211599886.8489,78.333,90,2873457,101.983703613281,NA,Upper middle income,Europe & Central Asia
Albania,2018,0.437493132803186,5560,1.93973156347946,NA,12708770911.1568,78.458,90,2866376,101.537857055664,NA,Upper middle income,Europe & Central Asia
Algeria,1971,0.614526644918588,18668.697,1.25527026738988,0,30378987069.7522,50.773,201.6537011,14872253,NA,NA,Lower middle income,Middle East & North Africa
Algeria,1972,0.732355865489985,28349.577,1.85461152930081,0,38710111212.1668,51.201,248.9484388,15285992,41.5880699157715,NA,Lower middle income,Middle East & North Africa
Algeria,1973,0.953382499861447,38312.816,2.43877964059575,0,40186195997.4805,51.676,298.99693130000003,15709831,43.5527496337891,NA,Lower middle income,Middle East & North Africa
Algeria,1974,0.738610111830958,31906.567,1.97575895946119,0,43198118315.6376,52.218,280.8936784,16149018,45.9229888916016,NA,Lower middle income,Middle East & North Africa
Algeria,1975,0.705882137155585,32031.245,1.9286977382668,0,45377610955.099,52.866,280.6477492,16607706,51.5357398986816,NA,Lower middle income,Middle East & North Africa
Algeria,1976,0.796426379009408,39170.894,2.29259948568984,0,49183320683.9791,53.661,327.3830702,17085799,57.6917114257813,NA,Lower middle income,Middle East & North Africa
Algeria,1977,0.809195996507016,41891.808,2.3825313448027,0,51769667893.6014,54.609,350.9813366,17582899,60.8581504821777,NA,Lower middle income,Middle East & North Africa
Algeria,1978,1.10593402118203,62529.684,3.45424622530682,0,56540157733.0697,55.7,371.8373864,18102266,63.4765586853027,NA,Lower middle income,Middle East & North Africa
Algeria,1979,0.750741301458354,45621.147,2.44646256145698,0,60768132659.5174,56.909,372.5142714,18647801,63.320930480957,NA,Lower middle income,Middle East & North Africa
Algeria,1980,1.0860560543295,66519.38,3.46064717930955,0,61248569753.674,58.198,378.9090165,19221659,62.8287391662598,NA,Lower middle income,Middle East & North Africa
Algeria,1981,0.736120058363913,46438.888,2.34252382316508,0,63086024449.8896,59.519,371.0486968,19824297,66.7112426757813,NA,Lower middle income,Middle East & North Africa
Algeria,1982,0.585039277170891,39269.903,1.92001628522037,0,67123532611.1775,60.813,366.4576402,20452901,68.1220474243164,NA,Lower middle income,Middle East & North Africa
Algeria,1983,0.743836775805389,52625.117,2.4938597636466,0,70748205401.6759,62.029,375.4684505,21101875,70.5637588500977,NA,Lower middle income,Middle East & North Africa
Algeria,1984,0.951720418915521,71103.13,3.26706987242631,0,74710102449.017,63.13,393.6289635,21763578,74.8833312988281,NA,Lower middle income,Middle East & North Africa
Algeria,1985,0.939488492316867,72786.283,3.24482358675233,0,77474374188.9825,64.087,305.0854925,22431507,88.4149169921875,NA,Lower middle income,Middle East & North Africa
Algeria,1986,0.980625833285366,76277.267,3.30170515720757,0,77784272462.4643,64.884,303.0563069,23102386,72.6389236450195,NA,Lower middle income,Middle East & North Africa
Algeria,1987,1.08908874573688,84120.98,3.53831767909591,0,77239784479.7154,65.545,296.0431459,23774287,74.5969314575195,NA,Lower middle income,Middle East & North Africa
Algeria,1988,1.09783581406297,83948.631,3.43439880390151,0,76467382394.1994,66.097,296.7484579,24443472,75.6287078857422,NA,Lower middle income,Middle East & North Africa
Algeria,1989,1.00269308380308,80046.943,3.18833469448493,0,79831948871.5258,66.554,288.928184,25106192,78.5259170532227,NA,Lower middle income,Middle East & North Africa
Algeria,1990,0.84366210571979094,67890,2.63559677613212,0,80470604925.5087,66.938,210,25758872,77.4284286499023,0.838301043219076,Lower middle income,Middle East & North Africa
Algeria,1991,0.841960078484989,66940,2.53556111202271,0,79504957195.1806,67.27,210,26400468,76.6008224487305,1.68924762179302,Lower middle income,Middle East & North Africa
Algeria,1992,0.81743551144065,66160,2.44780199146599,0,80936048255.8429,67.575,220,27028330,79.8595809936523,1.08826424587116,Lower middle income,Middle East & North Africa
Algeria,1993,0.9272254757783,73470,2.65853539125032,0,79236390629.0757,67.877,220,27635517,79.6357192993164,1.81827547130936,Lower middle income,Middle East & North Africa
Algeria,1994,0.911194908030627,71550,2.53599509204315,0,78523265845.1106,68.194,220,28213777,78.8939971923828,0.834884071820148,Lower middle income,Middle East & North Africa
Algeria,1995,0.896240436746796,73050,2.54018146319181,0,81507145856.0377,68.54,220,28757788,80.3866500854492,0.9789500380421,Lower middle income,Middle East & North Africa
Algeria,1996,0.841613366402709,71410,2.43999820271803,0,84848937589.0337,68.919,230,29266415,83.5574798583984,0.653626416190568,Lower middle income,Middle East & North Africa
Algeria,1997,0.849009883189487,72830,2.44864502480922,0,85782275851.0166,69.323,230,29742980,83.7903213500977,0.348885891054566,Lower middle income,Middle East & North Africa
Algeria,1998,0.826778345565061,74540,2.46880459713011,0,90157175015.337,69.745,230,30192750,NA,0.924254148396527,Lower middle income,Middle East & North Africa
Algeria,1999,0.833385227212947,77540,2.53205015797394,0,93042206014.7545,70.183,240,30623406,82.8245620727539,0.81997010946399,Lower middle income,Middle East & North Africa
Algeria,2000,0.813748004098777,78590,2.53171179217169,0,96577809843.0339,70.64,3060,31042238,80.166389465332,0.212498032425626,Lower middle income,Middle East & North Africa
Algeria,2001,0.751645053118755,74770,2.3773101154148,0,99475144138.5285,71.116,3070,31451513,86.2977905273438,0.259154929577465,Lower middle income,Middle East & North Africa
Algeria,2002,0.76547597887657,80410,2.52424179354584,0,105045752210.293,71.605,3080,31855110,88.0822982788086,0.206163194444444,Lower middle income,Middle East & North Africa
Algeria,2003,0.744522777722349,83840,2.59854905872488,0,112609046369.923,72.101,3090,32264159,89.7199172973633,0.896148253356329,Lower middle income,Middle East & North Africa
Algeria,2004,0.722768046987523,84890,2.59664758084302,0,117451235363.571,72.594,3100,32692153,91.3253021240234,0.8032,Lower middle income,Middle East & North Africa
Algeria,2005,0.715463788016294,88990,2.68448722945473,0,124380858249.633,73.072,3110,33149720,93.0753936767578,1.63644405130473,Lower middle income,Middle East & North Africa
Algeria,2006,0.741134063169066,93750,2.78677745883172,0,126495332840.496,73.521,3130,33641007,83.62890625,0.618861068528928,Lower middle income,Middle East & North Africa
Algeria,2007,0.768524008047174,100520,2.9420221444239,0,130796174156.514,73.936,3140,34166976,94.3985137939453,0.607592214216582,Lower middle income,Middle East & North Africa
Algeria,2008,0.776419761738563,103990,2.9941892170951,0,133935282336.381,74.311,3160,34730604,112.97664642334,0.703350233621632,Lower middle income,Middle East & North Africa
Algeria,2009,0.828714380196061,112770,3.19155421416758,0,136078246854.266,74.644,3170,35333882,91.8822631835938,0.794784551050622,Lower middle income,Middle East & North Africa
Algeria,2010,0.802541895806567,113140,3.14474752533191,0,140977063741.068,74.938,3190,35977451,95.6169967651367,0.380460926225565,Lower middle income,Middle East & North Africa
Algeria,2011,0.814391310052344,118140,3.22245952272794,0,145065398588.802,75.199,3210,36661438,97.6362991333008,0.980009370607528,Lower middle income,Middle East & North Africa
Algeria,2012,0.844280050524699,126640,3.38755462612394,0,149997622141.251,75.436,3230,37383899,101.552879333496,1.08368033172465,Lower middle income,Middle East & North Africa
Algeria,2013,0.842490657696806,129910,3.40612323474996,0,154197555561.206,75.661,3250,38140135,106.031677246094,0.55101018533979,Lower middle income,Middle East & North Africa
Algeria,2014,0.867253201339658,138810,3.56620883406526,0,160057062672.791,75.878,3270,38923688,108.391578674316,0.395379969490365,Lower middle income,Middle East & North Africa
Algeria,2015,0.879447683044212,145970,3.6742329469226,NA,165979173991.026,76.09,3280,39728020,105.546722412109,0.322683798947644,Lower middle income,Middle East & North Africa
Algeria,2016,0.836882335413418,143350,3.53501992705652,NA,171290507558.85,76.298,3290,40551398,105.590049743652,NA,Lower middle income,Middle East & North Africa
Algeria,2017,0.836227933747124,145100,3.50574766242013,NA,173517284156.975,76.499,3300,41389174,105.636711120605,NA,Lower middle income,Middle East & North Africa
Algeria,2018,0.863726874411346,151670,3.59165741835207,NA,175599491567.71,76.693,3300,42228415,105.14395904541,NA,Lower middle income,Middle East & North Africa
Angola,1971,NA,3410.31,0.564505062620433,0,NA,41.282,83.4852692,6041239,NA,NA,Lower middle income,Sub-Saharan Africa
Angola,1972,NA,4506.743,0.721198310440209,0,NA,41.65,88.2424455,6248965,NA,NA,Lower middle income,Sub-Saharan Africa
Angola,1973,NA,4880.777,0.751202771989461,0,NA,42.016,88.7369606,6497283,NA,NA,Lower middle income,Sub-Saharan Africa
Angola,1974,NA,4873.443,0.720750476623734,0,NA,42.374,89.7165916,6761623,NA,NA,Lower middle income,Sub-Saharan Africa
Angola,1975,NA,4415.068,0.628569443538819,0,NA,42.721,90.8596639,7023994,NA,NA,Lower middle income,Sub-Saharan Africa
Angola,1976,NA,3285.632,0.451346016212362,0,NA,43.053,89.0858377,7279630,NA,NA,Lower middle income,Sub-Saharan Africa
Angola,1977,NA,3534.988,0.469216256201706,0,NA,43.367,94.1140284,7533814,NA,NA,Lower middle income,Sub-Saharan Africa
Angola,1978,NA,5412.492,0.694730972814768,0,NA,43.66,99.5784418,7790774,NA,NA,Lower middle income,Sub-Saharan Africa
Angola,1979,NA,5504.167,0.683059133454586,0,NA,43.931,100.3340668,8058112,NA,NA,Lower middle income,Sub-Saharan Africa
Angola,1980,0.180549674664944,5346.486,0.640966325352553,0,29612271580.7811,44.178,102.0031905,8341290,NA,NA,Lower middle income,Sub-Saharan Africa
Angola,1981,0.186527896035771,5280.48,0.611132856307255,0,28309331270.146,44.404,101.4581981,8640478,42.9405708312988,NA,Lower middle income,Sub-Saharan Africa
Angola,1982,0.164248175120387,4649.756,0.519353407935757,0,28309331270.146,44.611,101.7547689,8952971,37.2060203552246,NA,Lower middle income,Sub-Saharan Africa
Angola,1983,0.173415447992023,5115.465,0.551348098706374,0,29498323587.8461,44.799,103.2322506,9278104,NA,NA,Lower middle income,Sub-Saharan Africa
Angola,1984,0.160198483208379,5009.122,0.520982747768118,0,31268223641.5706,44.966,111.28505612,9614756,NA,NA,Lower middle income,Sub-Saharan Africa
Angola,1985,0.145263123394272,4701.094,0.4719029615861,0,32362611309.4121,45.107,113.0182872,9961993,NA,NA,Lower middle income,Sub-Saharan Africa
Angola,1986,0.13995793343078,4660.757,0.451618663976258,0,33301127601.3525,45.213,114.236457,10320116,NA,NA,Lower middle income,Sub-Saharan Africa
Angola,1987,0.167793989878341,5815.862,0.544085284959736,0,34660728934.432,45.283,115.3386,10689247,NA,NA,Lower middle income,Sub-Saharan Africa
Angola,1988,0.139462455849404,5130.133,0.463508254524667,0,36785047049.076,45.317,116.0928486,11068051,NA,NA,Lower middle income,Sub-Saharan Africa
Angola,1989,0.136116123241878,5009.122,0.437295194741341,0,36800357523.3979,45.324,116.8613727,11454784,NA,NA,Lower middle income,Sub-Saharan Africa
Angola,1990,0.178155747543338,6330,0.534250026480402,0,35530708872.9213,45.306,40,11848385,NA,86.2068965517241,Lower middle income,Sub-Saharan Africa
Angola,1991,0.181980599514862,6530,0.53310905198760306,0,35882945860.208,45.271,40,12248901,29.2000007629395,82.6552462526767,Lower middle income,Sub-Saharan Africa
Angola,1992,0.188528478646132,6370,0.503264464053763,0,33787998745.5715,45.23,40,12657361,NA,88.70116156283,Lower middle income,Sub-Saharan Africa
Angola,1993,0.268644701904023,6900,0.527722889498498,0,25684481961.1038,45.201,40,13075044,NA,93.6842105263158,Lower middle income,Sub-Saharan Africa
Angola,1994,0.257026045921297,6690,0.495417829398983,0,26028490521.3401,45.201,40,13503753,NA,93.717277486911,Lower middle income,Sub-Saharan Africa
Angola,1995,0.360140478889473,10780,0.773025566852549,0,29932764107.0538,45.246,40,13945205,NA,93.75,Lower middle income,Sub-Saharan Africa
Angola,1996,0.335716910099396,11410,0.792321384997224,0,33986968355.6358,45.35,50,14400722,NA,89.9805447470817,Lower middle income,Sub-Saharan Africa
Angola,1997,0.321728835723774,11730,0.788753199728986,0,36459274698.2462,45.519,50,14871572,NA,76.3525305410122,Lower middle income,Sub-Saharan Africa
Angola,1998,0.297880781261696,11370,0.740253652438866,0,38169632669.2898,45.763,50,15359600,NA,80.4248861911988,Lower middle income,Sub-Saharan Africa
Angola,1999,0.324339852599223,12650,0.797258640345661,0,39002299281.5232,46.093,50,15866871,NA,66.9662921348315,Lower middle income,Sub-Saharan Africa
Angola,2000,0.307759880766794,12370,0.754476371745695,0,40193672967.3138,46.522,50,16395477,NA,63.1141868512111,Lower middle income,Sub-Saharan Africa
Angola,2001,0.308230654232604,12910,0.761842805096947,0,41884218272.0008,47.059,60,16945753,NA,62.0879120879121,Lower middle income,Sub-Saharan Africa
Angola,2002,0.2860864667214,13620,0.777423085629899,0,47607984243.6713,47.702,60,17519418,NA,64.7592067988669,Lower middle income,Sub-Saharan Africa
Angola,2003,0.367315701736303,18010,0.993848349116355,0,49031391565.5298,48.44,70,18121477,NA,62.2055137844612,Lower middle income,Sub-Saharan Africa
Angola,2004,0.354584298199688,19290,1.02835366708572,0,54401732106.9773,49.263,70,18758138,NA,78.405017921147,Lower middle income,Sub-Saharan Africa
Angola,2005,0.290998127036787,18210,0.937036691701652,0,62577722356.6046,50.165,80,19433604,NA,79.6482412060302,Lower middle income,Sub-Saharan Africa
Angola,2006,0.291387315241775,20340,1.00943403951532,0,69803999474.4559,51.143,90,20149905,NA,80.6110102843315,Lower middle income,Sub-Saharan Africa
Angola,2007,0.295161490682319,23490,1.1236352782253,0,79583552534.9145,52.177,100,20905360,NA,77.6188995958968,Lower middle income,Sub-Saharan Africa
Angola,2008,0.283486048879327,25080,1.15599284575018,0,88469962099.1788,53.243,110,21695636,39.1970100402832,75.4090471607315,Lower middle income,Sub-Saharan Africa
Angola,2009,0.304271007332161,27150,1.20590158910291,0,89229664824.2972,54.311,120,22514275,38.7875785827637,65.3431890179514,Lower middle income,Sub-Saharan Africa
Angola,2010,0.306249686389074,28530,1.22151474078862,0,93159279071.8947,55.35,130,23356247,39.8072090148926,67.9574233804368,Lower middle income,Sub-Saharan Africa
Angola,2011,0.305621483286137,29460,1.2163169789758,0,96393747204.0151,56.33,140,24220660,46.1871490478516,70.9078039285082,Lower middle income,Sub-Saharan Africa
Angola,2012,0.289119873513635,30250,1.20479888322113,0,104627881965.967,57.236,150,25107925,NA,60.7994842037395,Lower middle income,Sub-Saharan Africa
Angola,2013,0.298875209946381,32820,1.26154174238672,0,109811717090.514,58.054,160,26015786,NA,58.0209347614411,Lower middle income,Sub-Saharan Africa
Angola,2014,0.300849135001656,34630,1.28536455265954,0,115107527232.243,58.776,160,26941773,NA,53.1751054852321,Lower middle income,Sub-Saharan Africa
Angola,2015,0.302598294012025,35160,1.26092098873993,NA,116193649124.151,59.398,170,27884380,NA,53.1749283080705,Lower middle income,Sub-Saharan Africa
